id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano,mes,dia,fim_de_semana,estacao,velocidade_estim_kmh
415097,2022-02-15,terca-feira,11:45:00,SP,153,256.0,MARILIA,Condutor deixou de manter distancia do veiculo da frente,Colisao traseira,Com Vitimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-22.231552,-49.91968,SPRF-SP,DEL07-SP,UOP02-DEL07-SP,2022,2,15,False,Verão,30
476002,2022-09-22,quinta-feira,16:10:00,SC,101,201.0,SAO JOSE,Acessar a via sem observar a presenca dos outros veiculos,Atropelamento de Pedestre,Com Vitimas Feridas,Pleno dia,Crescente,Ceu Claro,Multipla,Reta,Sim,2,0,0,1,1,0,1,2,-27.54836599,-48.61977975,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2022,9,22,False,Inverno,30
518087,2023-04-20,quinta-feira,18:45:00,PB,230,20.3,JOAO PESSOA,Ausencia de reacao do condutor,Tombamento,Com Vitimas Feridas,Plena Noite,Crescente,Ceu Claro,Dupla,Reta,Sim,1,0,0,1,0,0,1,1,-7.1337,-34.8544,SPRF-PB,DEL01-PB,UOP01-DEL01-PB,2023,4,20,False,Outono,30
568562,2023-12-17,domingo,17:10:00,BA,116,285.0,TUCANO,Ingestao de alcool pelo condutor,Colisao frontal,Com Vitimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Sim,3,0,0,1,1,1,1,3,-11.04772005,-38.8380369,SPRF-BA,DEL02-BA,UOP01-DEL02-BA,2023,12,17,True,Primavera,60
309583,2020-09-22,terca-feira,14:40:00,MG,50,29.9,ARAGUARI,Carga excessiva e/ou mal acondicionada,Capotamento,Com Vitimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Curva,Nao,3,0,1,0,0,2,1,3,-18.6148506,-48.11509609,SPRF-MG,DEL15-MG,UOP02-DEL15-MG,2020,9,22,False,Inverno,40
462059,2022-07-16,sabado,19:00:00,PR,376,255.0,CALIFORNIA,Ingestao de alcool pelo condutor,Colisao frontal,Sem Vitimas,Plena Noite,Crescente,Ceu Claro,Simples,Reta,Nao,3,0,0,0,3,0,0,2,-23.66985276,-51.35701073,SPRF-PR,DEL07-PR,UOP03-DEL07-PR,2022,7,16,True,Inverno,60
477607,2022-09-29,quinta-feira,16:14:00,RJ,101,247.0,SILVA JARDIM,Pista Escorregadia,Saida de leito carrocavel,Com Vitimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Nao,2,0,2,0,0,0,2,1,-22.65885276,-42.49422728,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2022,9,29,False,Primavera,30
272203,2020-02-28,sexta-feira,15:15:00,SP,116,335.0,JUQUITIBA,Ingestao de Alcool,Atropelamento de Pedestre,Com Vitimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,3,0,0,1,0,2,1,2,-23.96963408,-47.1337469,SPRF-SP,DEL04-SP,UOP01-DEL04-SP,2020,2,28,False,Verão,40
373205,2020-07-14,terca-feira,07:30:00,BA,407,124.9,SENHOR DO BONFIM,Desobediencia as normas de transito pelo condutor,Colisao transversal,Com Vitimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-10.442562,-40.18664,SPRF-BA,DEL04-BA,UOP01-DEL04-BA,2020,7,14,False,Inverno,50
335777,2021-01-21,quinta-feira,11:35:00,RO,435,122.0,CEREJEIRAS,Acessar a via sem observar a presenca dos outros veiculos,Colisao traseira,Com Vitimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Reta,Sim,3,0,2,0,1,0,2,2,-13.18775891,-60.79986605,SPRF-RO,DEL04-RO,UOP02-DEL04-RO,2021,1,21,False,Verão,30
